id,neo_reference_id,name,absolute_magnitude_h,is_potentially_hazardous_asteroid,estimated_diameter_km_max,estimated_diameter_km_min,close_approach_date_full,velocity_kps,miss_distance_km,orbiting_body,date,is_sentry_object
54545769,54545769,(2025 SH),27.383,False,0.0198353551,0.0088706405,2025-Oct-02 08:55,3.7297175659,1393391.526813677,Earth,2025-10-02,False
54546465,54546465,(2025 SS2),24.244,False,0.0841860201,0.0376491327,2025-Oct-02 13:20,9.5854976818,20374562.029269174,Earth,2025-10-02,False
54549111,54549111,(2025 SV21),26.123,False,0.0354356153,0.0158472889,2025-Oct-02 11:25,7.2200577669,9132044.417673316,Earth,2025-10-02,False
54549696,54549696,(2025 TG),27.077,False,0.0228370487,0.0102130387,2025-Oct-02 00:17,6.0619564837,1995837.348447269,Earth,2025-10-02,False
54549117,54549117,(2025 SN23),24.486,False,0.0753078032,0.0336786734,2025-Oct-02 01:17,11.9995883073,11673450.253183372,Earth,2025-10-02,False
54550575,54550575,(2025 TP1),27.498,False,0.018812217,0.0084130792,2025-Oct-02 05:08,12.6266565198,225393.351211005,Earth,2025-10-02,True
54551096,54551096,(2025 TY1),22.969,False,0.151439783,0.0677259299,2025-Oct-02 06:35,18.0884818206,17044952.946651444,Earth,2025-10-02,False
54551101,54551101,(2025 TQ2),30.631,False,0.0044446747,0.0019877189,2025-Oct-02 19:02,14.7086130466,11239.377731822,Earth,2025-10-02,False
2247517,2247517,247517 (2002 QY6),19.64,False,0.7015198735,0.313729225,2025-Oct-05 00:22,18.2933116414,20515575.88372985,Earth,2025-10-05,False
2319988,2319988,319988 (2007 DK),19.45,False,0.7656670868,0.3424167308,2025-Oct-05 10:50,14.2822479982,19650685.641864695,Earth,2025-10-05,False
3092506,3092506,(2001 WJ4),27.4,False,0.0196806745,0.0088014652,2025-Oct-05 05:34,18.2830043948,74084958.19180362,Earth,2025-10-05,False
3746623,3746623,(2016 EF156),24.7,False,0.0682401509,0.0305179233,2025-Oct-05 15:01,17.7913534994,51388712.782018594,Earth,2025-10-05,False
3830865,3830865,(2018 SP1),23.1,False,0.1425738833,0.063760979,2025-Oct-05 17:14,16.381588731,5041878.253037102,Earth,2025-10-05,False
54051291,54051291,(2020 QW2),20.6,False,0.4508582062,0.2016299194,2025-Oct-05 04:32,21.5787552506,42875160.29287166,Earth,2025-10-05,False
54296533,54296533,(2022 QE1),28.33,False,0.0128244863,0.0057352846,2025-Oct-05 04:11,9.2772720654,25006707.08007752,Earth,2025-10-05,False
54547735,54547735,(2025 SY10),26.151,False,0.0349816249,0.0156442583,2025-Oct-05 00:59,11.4006049777,6006932.706187124,Earth,2025-10-05,False
54549113,54549113,(2025 SJ22),25.453,False,0.0482436301,0.0215752073,2025-Oct-05 23:53,8.4280738651,4277969.251223821,Earth,2025-10-05,False
54550507,54550507,(2025 TO),28.046,False,0.0146163852,0.0065366462,2025-Oct-05 06:47,6.9331467271,1262890.55794874,Earth,2025-10-05,False
54549130,54549130,(2025 SO27),27.41,False,0.01959025,0.0087610261,2025-Oct-05 14:38,6.4809213857,3948289.45958095,Earth,2025-10-05,False
54550502,54550502,(2025 TL),23.408,False,0.1237200192,0.0553292746,2025-Oct-05 19:52,17.994539469,4438504.071901651,Earth,2025-10-05,False
54549110,54549110,(2025 SN21),26.757,False,0.026463055,0.011834638,2025-Oct-05 16:32,8.3265248186,2845905.223915805,Earth,2025-10-05,False
54551099,54551099,(2025 TO2),26.432,False,0.0307354785,0.0137453239,2025-Oct-05 18:49,6.272318401,1411309.492014631,Earth,2025-10-05,False
3428698,3428698,(2008 TD),25.4,False,0.0494356193,0.022108281,2025-Oct-04 03:35,14.1369290299,24268337.351831708,Earth,2025-10-04,False
3667048,3667048,(2014 GQ17),27.1,False,0.0225964377,0.0101054342,2025-Oct-04 11:16,9.9368459615,49002315.99586324,Earth,2025-10-04,True
3728859,3728859,(2015 SZ16),22.9,False,0.1563291544,0.0699125232,2025-Oct-04 03:09,11.0165230119,58516116.89922257,Earth,2025-10-04,False
3799876,3799876,(2018 ES3),24.64,False,0.0701519874,0.0313729225,2025-Oct-04 16:17,11.797074683,40987360.83568246,Earth,2025-10-04,False
3878561,3878561,(2019 TS1),24.26,False,0.0835679943,0.0373727432,2025-Oct-04 19:07,13.1404929752,20399348.10748076,Earth,2025-10-04,False
3879165,3879165,(2019 TY6),25.04,False,0.0583498816,0.0260948603,2025-Oct-04 14:06,15.2109133457,18340416.85505526,Earth,2025-10-04,False
3991587,3991587,(2020 CR2),27.32,False,0.020419259,0.0091317703,2025-Oct-04 18:19,21.6957600212,27751317.357208066,Earth,2025-10-04,False
54154694,54154694,(2021 LA1),25.22,False,0.0537081235,0.024019003,2025-Oct-04 09:20,6.0965747505,30652379.959063713,Earth,2025-10-04,False
54193830,54193830,(2021 RF4),23.55,False,0.1158884032,0.0518268695,2025-Oct-04 23:52,5.5201197288,56213476.32525198,Earth,2025-10-04,False
54202332,54202332,(2021 TD1),26.01,False,0.0373284519,0.0166937912,2025-Oct-04 09:12,15.7162809525,25687173.067806676,Earth,2025-10-04,False
54203006,54203006,(2021 SZ4),20.47,True,0.4786741544,0.2140695897,2025-Oct-04 02:24,44.5235909383,71892716.08868077,Earth,2025-10-04,False
54215217,54215217,(2021 VO),21.29,False,0.3281254972,0.1467421834,2025-Oct-04 19:27,13.2737991015,57426097.67550228,Earth,2025-10-04,False
54265894,54265894,(2022 FF3),27.77,False,0.0165973969,0.0074225815,2025-Oct-04 01:37,9.5535291324,46320602.01888444,Earth,2025-10-04,False
54352299,54352299,(2023 FL4),25.07,False,0.0575492912,0.0257368254,2025-Oct-04 14:34,15.0262947206,74202950.92372298,Earth,2025-10-04,False
54390823,54390823,(2023 TT),24.07,False,0.0912094798,0.0407901194,2025-Oct-04 07:04,17.0960093943,25814258.37322441,Earth,2025-10-04,False
54392067,54392067,(2023 TM3),26.94,False,0.0243242791,0.0108781483,2025-Oct-04 23:49,21.3994446068,45856607.81419311,Earth,2025-10-04,True
54546621,54546621,(2025 SS3),23.769,False,0.1047707321,0.0468548958,2025-Oct-04 21:43,12.9712567003,9807599.630922915,Earth,2025-10-04,False
54549112,54549112,(2025 SG22),23.826,False,0.1020563375,0.0456409816,2025-Oct-04 02:49,15.2150233978,15195440.55104453,Earth,2025-10-04,False
54549680,54549680,(2025 SZ27),25.194,False,0.0543550599,0.0243083218,2025-Oct-04 04:29,16.413799511,1180837.188398617,Earth,2025-10-04,False
3346460,3346460,(2006 SS134),21.48,True,0.3006353038,0.1344481952,2025-Oct-01 04:39,18.9653044315,12154759.453900844,Earth,2025-10-01,False
3471356,3471356,(2009 TJ4),26.1,False,0.0358129403,0.0160160338,2025-Oct-01 02:55,16.3944524722,65592452.17819338,Earth,2025-10-01,False
3730802,3730802,(2015 TT238),24.6,False,0.0714562102,0.0319561887,2025-Oct-01 11:02,7.1652213599,13734664.249426775,Earth,2025-10-01,False
3856710,3856710,(2019 SG4),24.79,False,0.0654696439,0.0292789148,2025-Oct-01 15:13,13.4401664173,8333127.49470879,Earth,2025-10-01,False
3994621,3994621,(2020 DT2),27.6,False,0.0179489885,0.0080270317,2025-Oct-01 15:48,8.3918231939,20014314.85996984,Earth,2025-10-01,False
54054367,54054367,(2020 SA),24.3,False,0.0820427065,0.0366906138,2025-Oct-01 04:33,12.4891405545,8378998.495109659,Earth,2025-10-01,False
54157355,54157355,(2021 LV2),25.27,False,0.0524855773,0.0234722638,2025-Oct-01 00:31,19.4060797909,61892989.96280767,Earth,2025-10-01,False
54235406,54235406,(2022 AG),25.12,False,0.0562393094,0.0251509837,2025-Oct-01 21:45,3.2461444272,28616186.311296318,Earth,2025-10-01,False
54253542,54253542,(2022 EG4),24.48,False,0.0755161741,0.0337718597,2025-Oct-01 14:11,15.4244882247,50251557.767745726,Earth,2025-10-01,False
54391010,54391010,(2023 TF1),25.13,False,0.0559809132,0.0250354255,2025-Oct-01 13:00,10.5182170538,17827604.661682777,Earth,2025-10-01,False
54395903,54395903,(2023 UJ1),26.11,False,0.0356483948,0.0159424468,2025-Oct-01 23:50,17.3404565887,42520024.389117256,Earth,2025-10-01,False
54415896,54415896,(2023 XU10),27.66,False,0.0174598287,0.0078082728,2025-Oct-01 13:01,8.3011856102,12062148.46899185,Earth,2025-10-01,False
54543546,54543546,(2025 QL23),23.38,False,0.1253256538,0.0560473362,2025-Oct-01 22:54,9.9557897302,2729884.206882843,Earth,2025-10-01,False
54546120,54546120,(2025 SZ),28.265,False,0.0132141727,0.0059095577,2025-Oct-01 09:24,1.9895768752,3464848.38449747,Earth,2025-10-01,False
